SUID,shared name,name,selected,Name,GS_DESCR,GS_Type,Genes,gs_size,pvalue,fdr_qvalue,fwer_qvalue,ES,NES,Colouring
6772,GO:0009055,GO:0009055,FALSE,GO:0009055,electron transfer activity,ENR,CNG02173|CNG02210|CNG03480|CNH02030|CNH02730|CNH02740|CNA03110|CNI00360|CNI03270|CNK02100|CNK03240|CNL04890|CNL05510|CNF01340|CNM00720|CNM01810|CNM02270|CNN01330|CNC04490|CND05840|CNE01560|CNA01370|CND05770|CNA03530|CNA04420|CNA05000|CNA06950|CNB01310|CNB03380|CNB03500|CNB03640|CNB04460|CNB04720|CNB05410|CNC02900|CNC02910|CNC02920|CNC04560|CNC04660|CNC05480|CNC05590|CNC05970|CNC07090|CND04070|CNH01030|CND05570|CND01340|CNE02310|CNE02800|CNE03960|CNF00630|CNF01980|CNF03360|CNF03560|CNI01690|CNG00160,56,0,0.0044,0.0186,0.9036,1.6692,1
6773,GO:0022904,GO:0022904,FALSE,GO:0022904,respiratory electron transport chain,ENR,CNG00860|CNC02690|CNG02210|CNG03480|CNH02730|CNH02740|CNI00360|CNA03530|CNA04420|CNI03270|CNA04680|CNA05000|CNA06950|CNB01750|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNB03640|CNM00720|CNC02900|CNM01400|CNC02910|CNC04560|CNM02270|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNK01540|CNE02310|CNF00630|CNF03560,40,5e-04,0.0232,0.2007,0.897,1.6318,0.9995
6774,GO:0022900,GO:0022900,FALSE,GO:0022900,electron transport chain,ENR,CNG00860|CNG02173|CNC02690|CNG02210|CNG03480|CNH02030|CNH02730|CNH02740|CNI00360|CNI02590|CNI03270|CNK02100|CNB01750|CNK03240|CNL04280|CNL04470|CNL04890|CNL05510|CNL05770|CNM00240|CNM00720|CNM01400|CNM01810|CNM02270|CNN01330|CNK01540|CNA01370|CND05770|CNA03530|CNA04420|CNA04680|CNA05000|CNA06950|CNA07460|CNB00800|CNB01310|CNB03380|CNB03500|CNB03640|CNB04460|CNB04720|CNB05410|CNC02900|CNC02910|CNC02920|CNC04560|CNC04660|CNC05480|CNC05590|CNC07090|CND04070|CND04430|CND05570|CND01340|CNE02310|CNE03960|CNF00630|CNF01980|CNF03560|CNG00160,60,0,0.0055,0.0116,0.8987,1.6748,1
6775,GO:0042773,GO:0042773,FALSE,GO:0042773,ATP synthesis coupled electron transport,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNE02310|CNF00630|CNF03560,29,0.0026,0.0729,0.7143,0.8902,1.5992,0.9974
6776,GO:0042775,GO:0042775,FALSE,GO:0042775,mitochondrial ATP synthesis coupled electron transport,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNE02310|CNF00630|CNF03560,28,0.0019,0.076,0.8182,0.8882,1.5925,0.9981
6777,GO:0030964,GO:0030964,FALSE,GO:0030964,NADH dehydrogenase complex,ENR,CNM01810|CNH03630|CNA03110|CNC07090|CNI02590|CNH01030|CNJ00510|CNE01150|CNL04280|CNB01310|CNE03960|CNF03360|CNM01400,13,0.0038,0.1516,0.9916,0.9398,1.5654,0.9962
6778,GO:0050136,GO:0050136,FALSE,GO:0050136,NADH dehydrogenase (quinone) activity,ENR,CNC02910|CNM01810|CNG02173|CNM02270|CNH02730|CNA03110|CNC07090|CND04070|CNH01030|CNC04490|CNB01310|CNE02800|CNE03960|CNF03360|CNI01690,15,0.0016,0.0761,0.7065,0.9393,1.5996,0.9984
6779,GO:0005747,GO:0005747,FALSE,GO:0005747,mitochondrial respiratory chain complex I,ENR,CNM01810|CNH03630|CNA03110|CNC07090|CNI02590|CNH01030|CNJ00510|CNE01150|CNL04280|CNB01310|CNE03960|CNF03360|CNM01400,13,0.0031,0.1486,0.9918,0.9398,1.565,0.9969
6780,GO:0045271,GO:0045271,FALSE,GO:0045271,respiratory chain complex I,ENR,CNM01810|CNH03630|CNA03110|CNC07090|CNI02590|CNH01030|CNJ00510|CNE01150|CNL04280|CNB01310|CNE03960|CNF03360|CNM01400,13,0.0039,0.1304,0.9695,0.9398,1.5747,0.9961
6781,GO:0006119,GO:0006119,FALSE,GO:0006119,oxidative phosphorylation,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND03280|CND04070|CND04430|CNE02310|CNF00570|CNG02220|CNF00630|CNF03560,32,0.0014,0.0752,0.6769,0.8857,1.6013,0.9986
